Spec,Price,product link
"Hp Stream 14-Intel Celeron N3060 1.6GHz 4GB RAM, 32GB SSD Windows 10 Home + Mouse, 32gb Flash", 145000,https://www.jumia.com.ng/stream-14-intel-celeron-n3060-1.6ghz-4gb-ram-32gb-ssd-windows-10-home-mouse-32gb-flash-hp-mpg1652361.html
Hp Pavilion 15 Intel Core I3 - 8GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 258000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i3-8gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-106921650.html
Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM Win 10+ 32GB Flash, 141500,https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-1tb-hdd-4gb-ram-win-10-32gb-flash-77139770.html?seller_product=1
Hp 14 AMD RYZEN™ 3 3250U 12GB RAM 1TB HDD Windows 10 + Led Lamp, 212950,https://www.jumia.com.ng/hp-14-amd-ryzentm-3-3250u-12gb-ram-1tb-hdd-windows-10-led-lamp-95322894.html
"Hp Notebook 14 Intel Celeron 8GB RAM, 1TB HDD, Windows 10 Home", 189999,https://www.jumia.com.ng/hp-notebook-14-intel-celeron-8gb-ram-1tb-hdd-windows-10-home-72116778.html
Hp 15 Inch AMD RYZEN™ 3 - 2.6GHz - 3.5GHz - AMD Radeon Graphics 12GB RAM 1TB HDD Windows 10 + Mouse, 215000,https://www.jumia.com.ng/hp-15-inch-amd-ryzentm-3-2.6ghz-3.5ghz-amd-radeon-graphics-12gb-ram-1tb-hdd-windows-10-mouse-107109255.html
"Lenovo Ideapad Intel Celeron (4gbRam,500Hdd)Windows 10", 142500,https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-4gbram500hddwindows-10-62995095.html
Hp Pavilion 15 - Intel Core I5 - Touchscreen - 8GB RAM 1TB HDD Windows 10 Professional + 32GB Flash, 350000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i5-touchscreen-8gb-ram-1tb-hdd-windows-10-professional-32gb-flash-69147172.html
Hp Pavilion 15 - Intel Core I5 - Touchscreen - 8GB RAM 1TB HDD Windows 10 Professional + 32GB Flash, 350000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i5-touchscreen-8gb-ram-1tb-hdd-windows-10-professional-32gb-flash-69029606.html
Hp Pavilion 15 Intel Core I3 - 12GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 268000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i3-12gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-106921818.html
"Gateway 11.6 Ultra Slim FHD, Intel Celeron, Dual Core, 4GB 64GB, Tuned By THX Audio, Mini HDMI, Cortana, 1MP Webcam, Windows 10 S, Microsoft 365 Personal Included, Black", 100000,https://www.jumia.com.ng/gateway-11.6-ultra-slim-fhd-intel-celeron-dual-core-4gb-64gb-tuned-by-thx-audio-mini-hdmi-cortana-1mp-webcam-windows-10-s-microsoft-365-personal-included-black-98343739.html
"Gateway 14.1"" Ultra Slim FHD, Intel Celeron, Dual Core, 4GB 64GB, Tuned By THX Audio, Mini HDMI, Cortana, 1MP Webcam, Windows 10 S, Microsoft 365 Personal Included, Blue", 135000,https://www.jumia.com.ng/gateway-14.1-ultra-slim-fhd-intel-celeron-dual-core-4gb-64gb-tuned-by-thx-audio-mini-hdmi-cortana-1mp-webcam-windows-10-s-microsoft-365-personal-included-blue-85611157.html
Infinix INBook X1 Pro Intel Core I3 256GB SSD 8GB RAM Bccklit Keyboard Windows 10, 194900,https://www.jumia.com.ng/infinix-inbook-x1-pro-intel-core-i3-256gb-ssd-8gb-ram-bccklit-keyboard-windows-10-106123080.html
Hp Stream 11 Intel Celeron D/C 4GB RAM- 64GB HDD WIN 10+ BAG, 110000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-dc-4gb-ram-64gb-hdd-win-10-bag-80173067.html
DELL Latitude 3189 X360 INTEL PENTIUM 256GB SSD 8GB WINS 10 Pro, 219000,https://www.jumia.com.ng/latitude-3189-x360-intel-pentium-256gb-ssd-8gb-wins-10-pro-dell-mpg1643160.html
Portable Air Space Adjustable Laptop Table Desk Stand With Mouse Pad Tray, 13000,https://www.jumia.com.ng/generic-portable-air-space-adjustable-laptop-table-desk-stand-with-mouse-pad-tray-76832460.html
Hp Pavilion 15 Intel Core I3 - 16GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 278000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i3-16gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-107060623.html
Apple MacBook Air 13.3 - 8GB - 256GB - M1 Processor - Silver, 610999,https://www.jumia.com.ng/apple-macbook-air-13.3-8gb-256gb-m1-processor-silver-90200371.html
"Lenovo S145-15IGM Intel Celeron -N4000 4GB RAM 1TB HDD 15.6"" FreeDos", 143075,https://www.jumia.com.ng/lenovo-s145-15igm-intel-celeron-n4000-4gb-ram-1tb-hdd-15.6-freedos-97074645.html
Hp Stream 11 Pro Intel Celeron 2GB RAM- 32GB HDD WIN 10+ BAG, 109000,https://www.jumia.com.ng/hp-stream-11-pro-intel-celeron-2gb-ram-32gb-hdd-win-10-bag-98296151.html
Hp Pavilion 15 Intel Core I3 - 12GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 269000,https://www.jumia.com.ng/pavilion-15-intel-core-i3-12gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-hp-mpg1652347.html
Lenovo Ideapad Intel Celeron 1TB HDD 4GB RAM Win 10 PRO + 32GB Flash, 142999,https://www.jumia.com.ng/lenovo-ideapad-intel-celeron-1tb-hdd-4gb-ram-win-10-pro-32gb-flash-70342541.html
Hp Stream 14 Intel Celeron Dual Core 32GB EMMC- 4GB RAM WIN 10, 128000,https://www.jumia.com.ng/hp-stream-14-intel-celeron-dual-core-32gb-emmc-4gb-ram-win-10-101998397.html
"Hp 255 G8 AMD RYZEN 3,1TB HDD, 8GB RAM, Wins 10 + Free Mouse", 215500,https://www.jumia.com.ng/hp-255-g8-amd-ryzen-31tb-hdd-8gb-ram-wins-10-free-mouse-117255662.html
Hp Stream 11 Intel Celeron 2GB RAM- 32GB HDD WIN 10+ 32GB FLASH, 103000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-2gb-ram-32gb-hdd-win-10-32gb-flash-71140641.html
Lenovo Ideapad 15 - AMD QUAD CORE 1TB HDD 8GB RAM Win 10+32GB Flash, 170000,https://www.jumia.com.ng/lenovo-ideapad-15-amd-quad-core-1tb-hdd-8gb-ram-win-1032gb-flash-90086684.html
